,Venue,Venue_Latitude,Venue_Longitude,Venue_Category
0,Buds,40.76300146863668,-111.87633221296466,Vegetarian / Vegan Restaurant
1,Zest Kitchen & Bar,40.76329589428238,-111.89649313667098,Vegetarian / Vegan Restaurant
2,Vertical Diner and the Jade Room,40.74994351860519,-111.89786568290492,Vegetarian / Vegan Restaurant
3,Sage's Cafe,40.76294982547217,-111.87715334212997,Vegetarian / Vegan Restaurant
4,Boltcutter,40.764733,-111.88939599999999,Vegetarian / Vegan Restaurant
5,All Chay,40.78047630524647,-111.92744402024624,Vegetarian / Vegan Restaurant
6,Frisch,40.75218720706456,-111.87660369719138,Vegetarian / Vegan Restaurant
7,Seasons Plant Based Bistro,40.74006,-111.88849,Vegetarian / Vegan Restaurant
8,CoreLife Eatery,40.768285486115516,-111.89066260061169,Vegetarian / Vegan Restaurant
9,Vertical Diner,40.72121343077499,-111.89417176332972,Vegetarian / Vegan Restaurant
10,Shanghai Cafe,40.74182551272452,-111.88647554447319,Vegetarian / Vegan Restaurant
11,Thai Siam,40.73889504154894,-111.88797489714177,Vegetarian / Vegan Restaurant
12,City Cakes & Cafe SLC,40.7295584,-111.9008843,Vegetarian / Vegan Restaurant
13,Sprouts Farmers Market,40.7645442,-111.8728644,Grocery Store
14,Este Pizzeria,40.76487379067575,-111.88634273771841,Pizza Place
15,Whole Foods Market,40.75784435614018,-111.871659721765,Grocery Store
16,Blue Plate Diner,40.72588721241281,-111.83068108692163,Diner
17,Nostalgia LLC,40.767011114371634,-111.88368298734639,Coffee Shop
18,Alchemy Coffee,40.73322813080814,-111.87982023132751,Coffee Shop
19,Bombay House,40.7186808870046,-111.81178545272695,Indian Restaurant
20,Green House Coffee,40.70062512119988,-111.86519437390757,Coffee Shop
21,Pie Hole,40.761590233157115,-111.88838899867248,Pizza Place
22,Oh Mai,40.69691755229839,-111.88804508321972,Vietnamese Restaurant
23,Este Pizzeria,40.72432419706554,-111.86571542941628,Pizza Place
24,Zao Asian Cafe,40.76118903386332,-111.87262914094838,Asian Restaurant
25,Rusted Sun Pizzeria,40.72630823900166,-111.88843402654348,Pizza Place
26,Curry In A Hurry,40.726234455029974,-111.88849822788454,Indian Restaurant
27,Golden Phoenix,40.745427,-111.88863400000001,Asian Restaurant
28,The Curryer,40.76283353428735,-111.89081507760606,Middle Eastern Restaurant
29,Piper Down,40.73708465732111,-111.8886347731182,Bar
30,The Pie Pizzeria,40.763105,-111.853552,Pizza Place
31,Spitz,40.723461757396144,-111.85694317541241,Mediterranean Restaurant
32,The Robins Nest,40.76233877375845,-111.89108994686113,Sandwich Place
33,El Chihuahua,40.68638658004858,-111.8452206950444,Mexican Restaurant
34,Coffee Garden,40.74965024136162,-111.86581350721181,Coffee Shop
35,House of Tibet,40.74189225584419,-111.88624248401457,Asian Restaurant
36,Last Course,40.766099,-111.889156,Vegetarian / Vegan Restaurant
37,Cafe Solstice,40.72233810711233,-111.87202867112082,Tea Room
38,The Jackalope Lounge,40.76091965971325,-111.88834936966592,Bar
39,Thai Garden Bistro,40.74955633152737,-111.86630155995118,Thai Restaurant
40,The Pie Pizzeria,40.76476186173942,-111.85295030330516,Pizza Place
41,Stoneground Kitchen,40.76086957670082,-111.88370465859937,Italian Restaurant
42,Jade Market,40.76491577594218,-111.9014438396282,Grocery Store
43,Cakewalk Baking Company,40.75975063553946,-111.86563169627118,Bakery
44,Cafe Rio Mexican Grill,40.62431131193572,-111.85115651777949,Mexican Restaurant
45,The Oasis Cafe,40.76587347109001,-111.87639253789185,New American Restaurant
46,Squatters Pub Brewery,40.762668026780474,-111.89563733167398,Brewery
47,The Park Cafe,40.74153423348679,-111.87374802940029,Diner
48,Eva,40.7622684414322,-111.89084744624061,Mediterranean Restaurant
49,Spitz,40.762897094522394,-111.89005021500816,Mediterranean Restaurant
50,Pago,40.750163106061486,-111.86566760004295,New American Restaurant
51,Rye Diner & Drinks,40.763775,-111.876533,Diner
52,Ruth's Diner,40.76170228513167,-111.78057311034759,Diner
53,Mark Of The Beastro,40.754717,-111.888528,Vegetarian / Vegan Restaurant
54,Sage's Cafe,40.767276,-111.881819,Vegetarian / Vegan Restaurant
55,Veggie House,40.7332,-111.88931000000001,Vegetarian / Vegan Restaurant
56,Agi's Raw Foods,40.725818,-111.865619,Vegetarian / Vegan Restaurant
57,Lil’ Lotus,40.722226,-111.858424,Vegetarian / Vegan Restaurant
58,Chanon Thai Cafe,40.74949326604898,-111.88287903034012,Thai Restaurant
59,CoreLife Eatery,40.700070416078596,-111.8028887150057,Vegetarian / Vegan Restaurant
60,KiraaaK,40.75656,-111.89722,Vegetarian / Vegan Restaurant
61,The Green Pig Pub,40.76079218948593,-111.88987494764773,Bar
62,Su Casa,40.76263859645125,-111.87606881992204,Mexican Restaurant
63,Dasks,40.63258823469696,-111.80583023463952,Greek Restaurant
64,Pro Bar,40.772378,-112.027557,Vegetarian / Vegan Restaurant
65,Rawtopia,40.685739,-111.794355,Vegetarian / Vegan Restaurant
66,Rawtopia Living Cuisine and Beyond,40.685849,-111.794127,Vegetarian / Vegan Restaurant
67,Vosen's Bread Paradise,40.764825872579834,-111.89840098837463,Bakery
68,Even Stevens Sandwiches,40.7259319,-111.8657782,Sandwich Place
69,Vino Volo Ale House,40.7870833711925,-111.98459421568398,Bar
70,U Food Grill,40.78815336702493,-111.98147826078892,American Restaurant
71,French Meadow Bakery,40.786666286950656,-111.97909988357453,Bakery
